FID,Station,Latitude,Longitude
0,US1CAAM0002,38.496899999999997,-120.560400000000001
1,US1CAAM0003,38.498600000000003,-120.536400000000000
2,US1CAAM0005,38.505400000000002,-120.499300000000005
3,US1CAAM0007,38.467500000000001,-120.551199999999994
4,US1CAAM0009,38.488199999999999,-120.631299999999996
5,US1CAED0001,38.685699999999997,-120.823899999999995
6,US1CAED0002,38.753200000000000,-120.840100000000007
7,US1CAED0003,38.695300000000003,-120.849000000000004
8,US1CAED0006,38.671999999999997,-120.975899999999996
9,US1CAED0007,38.592500000000001,-120.609399999999994
10,US1CAED0010,38.739199999999997,-120.784599999999998
11,US1CAED0011,38.756999999999998,-120.577500000000001
12,US1CAED0012,38.718600000000002,-120.634000000000000
13,US1CAED0014,38.713500000000003,-121.081599999999995
14,US1CAED0017,38.733800000000002,-120.710999999999999
15,US1CAED0018,38.757500000000000,-120.604600000000005
16,US1CAED0020,38.881700000000002,-120.033900000000003
17,US1CAED0021,38.695399999999999,-121.074500000000000
18,US1CAED0023,38.698000000000000,-121.086900000000000
19,US1CAED0027,38.680300000000003,-120.691000000000003
20,US1CAED0029,38.895699999999998,-120.981800000000007
21,US1CAPC0010,38.847200000000001,-121.158400000000000
22,US1CAPC0012,38.936199999999999,-121.067899999999995
23,US1CAPC0013,38.850999999999999,-121.123000000000005
24,US1CAPC0021,38.739899999999999,-121.257499999999993
25,US1CAPC0024,38.996200000000002,-120.986000000000004
26,US1CAPC0028,39.055500000000002,-120.988399999999999
27,US1CAPC0031,38.769500000000001,-121.228200000000001
28,US1CAPC0032,38.962899999999998,-121.115300000000005
29,US1CAPC0034,38.868400000000001,-121.136600000000001
30,US1CAPC0037,38.960200000000000,-121.092299999999994
31,US1CASA0003,38.654600000000002,-121.090699999999998
32,US1CASA0007,38.659999999999997,-121.139499999999998
33,US1CASA0009,38.651299999999999,-121.176400000000001
34,US1CASA0029,38.682299999999998,-121.137500000000003
35,US1CASA0031,38.675400000000003,-121.155600000000007
36,US1CASA0039,38.676200000000001,-121.251800000000003
37,US1CASA0047,38.657100000000000,-121.121899999999997
38,USC00040383,38.907200000000003,-121.083900000000000
39,USC00040385,38.883299999999998,-121.066699999999997
40,USC00041985,38.883299999999998,-121.016700000000000
41,USC00042671,38.783299999999997,-120.033299999999997
42,USC00043038,38.523600000000002,-120.706100000000006
43,USC00043111,38.683300000000003,-121.183300000000003
44,USC00043113,38.700000000000003,-121.166700000000006
45,USC00043134,39.009999999999998,-120.845600000000005
46,USC00043338,38.833300000000001,-120.849999999999994
47,USC00043381,38.916699999999999,-120.833299999999994
48,USC00043383,38.916699999999999,-120.683300000000003
49,USC00043384,38.933100000000003,-120.800799999999995
50,USC00043649,38.633299999999998,-120.516700000000000
51,USC00044484,38.808900000000001,-120.820800000000006
52,USC00044613,38.783299999999997,-120.299999999999997
53,USC00044616,38.799999999999997,-120.150000000000006
54,USC00044886,38.600000000000001,-121.016700000000000
55,USC00045571,38.816699999999997,-120.016700000000000
56,USC00045572,38.850000000000001,-120.016700000000000
57,USC00045586,39.049999999999997,-120.733300000000000
58,USC00045909,38.750000000000000,-120.666700000000006
59,USC00046597,38.758299999999998,-120.503100000000003
60,USC00046936,38.444699999999997,-120.512200000000007
61,USC00046960,38.695599999999999,-120.824399999999997
62,USC00046961,38.785299999999999,-120.741900000000001
63,USC00046962,38.733300000000000,-120.733300000000000
64,USC00046963,38.733300000000000,-120.816699999999997
65,USC00047000,38.483300000000000,-120.849999999999994
66,USC00047370,38.694400000000002,-121.161100000000005
67,USC00047516,38.799999999999997,-121.233300000000000
68,USC00047689,38.500599999999999,-120.218900000000005
69,USC00048173,38.666699999999999,-120.916700000000006
70,USC00048293,38.466700000000003,-121.083299999999994
71,USC00048760,39.060000000000002,-120.129199999999997
72,USC00048928,38.446100000000001,-120.499200000000002
73,USC00049105,38.708599999999997,-120.040300000000002
74,USC00049382,38.983300000000000,-120.783299999999997
75,USC00049639,38.566699999999997,-121.083299999999994
76,USR0000CBAL,38.905600000000000,-120.697199999999995
77,USR0000CBLT,38.590800000000002,-120.933599999999998
78,USR0000CBVR,38.488300000000002,-120.325000000000003
79,USR0000CFOR,39.091400000000000,-120.731700000000004
80,USR0000CGZF,38.619700000000002,-120.561400000000006
81,USR0000CHEL,39.071700000000000,-120.421700000000001
82,USR0000CMEY,38.848900000000000,-120.018100000000004
83,USR0000COWE,38.733300000000000,-120.245000000000005
84,USR0000CPIL,38.832500000000003,-121.008600000000001
85,USS0019L03S,38.850000000000001,-119.939999999999998
86,USS0019L43S,38.680000000000000,-119.959999999999994
87,USS0019L45S,38.689999999999998,-119.989999999999995
88,USS0020L02S,39.000000000000000,-120.129999999999995
89,USS0020L06S,38.850000000000001,-120.079999999999998
90,USS0020L10S,38.930000000000000,-120.049999999999997
91,USW00093230,38.898299999999999,-119.994699999999995
