"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00054788","1999-08-03","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  300",",,W","  167",",,W","   20",",,W",,," 1630",",,W",,," 1502",",,W","  233",",,W",,,"  350",",,W","   20",",,W","   63",",,W","   94",",,W",,,,,,,,
"USW00054788","1999-08-04","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  306",",,W","  144",",,W","   26",",,W",,," 1457",",,W",,," 1621",",,W","  228",",,W",,,"  170",",,W","  210",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00054788","1999-08-05","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   10",",,W",,,"  317",",,W","  161",",,W","   14",",,W",,," 1447",",,W",,," 1444",",,W","  239",",,W",,,"  330",",,W","  320",",,W","   67",",,W","   98",",,W",,,,,,,,
"USW00054788","1999-08-06","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  300",",,W","  133",",,W","   25",",,W",,," 1559",",,W",,," 1558",",,W","  217",",,W",,,"  200",",,W","  200",",,W","   80",",,W","  112",",,W",,,,,,,,
"USW00054788","1999-08-07","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  289",",,W","  144",",,W","   27",",,W",,," 1008",",,W",,," 1116",",,W","  217",",,W",,,"  350",",,W","  350",",,W","   72",",,W","   89",",,W",,,,,,,,
"USW00054788","1999-08-08","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   53",",,W",,,"  278",",,W","  183",",,W","   21",",,W",,," 1401",",,W",,," 1400",",,W","  233",",,W",,,"  300",",,W","  300",",,W","   76",",,W","   98",",,W",,,,,,,,
"USW00054788","1999-08-09","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  256",",,W","  133",",,W","   46",",,W",,," 1210",",,W",,," 1022",",,W","  194",",,W",,,"  340",",,W","  350",",,W","   94",",,W","  116",",,W",,,,,,,,
"USW00054788","1999-08-10","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  256",",,W","   94",",,W","   15",",,W",,," 1358",",,W",,," 1358",",,W","  178",",,W",,,"  210",",,W","  210",",,W","   76",",,W","   94",",,W",,,,,,,,
"USW00054788","1999-08-11","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    3",",,W",,,"  244",",,W","  178",",,W","   16",",,W",,," 1612",",,W",,," 1148",",,W","  211",",,W",,,"  190",",,W","  160",",,W","   58",",,W","   72",",,W",,,,,,,,
"USW00054788","1999-08-12","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  317",",,W","  206",",,W","   21",",,W",,," 1518",",,W",,," 1418",",,W","  261",",,W",,,"  210",",,W","  220",",,W","   72",",,W","   89",",,W",,,,,,,,
"USW00054788","1999-08-13","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0","T,,W",,,"  311",",,W","  206",",,W","   41",",,W",,," 1348",",,W",,," 1919",",,W","  261",",,W",,,"  200",",,W","  190",",,W","   94",",,W","  112",",,W",,,,,,,,
"USW00054788","1999-08-14","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   48",",,W",,,"  272",",,W","  211",",,W","   25",",,W",,," 0137",",,W",,," 0135",",,W","  244",",,W",,,"  320",",,W","  300",",,W","   80",",,W","  103",",,W",,,,,,,,
"USW00054788","1999-08-15","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   74",",,W",,,"  217",",,W","  172",",,W","   27",",,W",,," 1029",",,W",,," 1028",",,W","  194",",,W",,,"   30",",,W","   20",",,W","   67",",,W","   89",",,W",,,,,,,,
"USW00054788","1999-08-16","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  289",",,W","  150",",,W","   13",",,W",,," 1635",",,W",,," 1638",",,W","  222",",,W",,,"  200",",,W","  190",",,W","   67",",,W","   76",",,W",,,,,,,,
"USW00054788","1999-08-17","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  306",",,W","  189",",,W","   37",",,W",,," 1545",",,W",,," 1429",",,W","  250",",,W",,,"  200",",,W","  190",",,W","   89",",,W","  112",",,W",,,,,,,,
"USW00054788","1999-08-18","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  300",",,W","  206",",,W","   26",",,W",,," 1701",",,W",,," 1700",",,W","  256",",,W",,,"  340",",,W","  330",",,W","   76",",,W","   94",",,W",,,,,,,,
"USW00054788","1999-08-19","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  289",",,W","  156",",,W","   21",",,W",,," 1803",",,W",,," 1803",",,W","  222",",,W",,,"  190",",,W","  190",",,W","   67",",,W","   72",",,W",,,,,,,,
"USW00054788","1999-08-20","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   41",",,W",,,"  261",",,W","  139",",,W","   24",",,W",,," 1115",",,W",,," 1206",",,W","  200",",,W",,,"  130",",,W","  100",",,W","   67",",,W","   94",",,W",,,,,,,,
"USW00054788","1999-08-21","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   20",",,W",,,"  161",",,W","  139",",,W","   33",",,W",,," 1603",",,W",,," 1526",",,W","  150",",,W",,,"   30",",,W","   20",",,W","   63",",,W","   94",",,W",,,,,,,,
"USW00054788","1999-08-22","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  206",",,W","  144",",,W","   21",",,W",,," 1804",",,W",,," 1801",",,W","  178",",,W",,,"  350",",,W","  340",",,W","   63",",,W","   76",",,W",,,,,,,,
"USW00054788","1999-08-23","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  294",",,W","  122",",,W","   11",",,W",,," 1409",",,W",,," 1524",",,W","  211",",,W",,,"  340",",,W","  350",",,W","   58",",,W","   76",",,W",,,,,,,,
"USW00054788","1999-08-24","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  311",",,W","  122",",,W","   13",",,W",,," 1545",",,W",,," 1440",",,W","  217",",,W",,,"  200",",,W","  180",",,W","   67",",,W","  107",",,W",,,,,,,,
"USW00054788","1999-08-25","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  289",",,W","  150",",,W","   18",",,W",,," 1357",",,W",,," 1216",",,W","  222",",,W",,,"  180",",,W","  220",",,W","   67",",,W","   98",",,W",,,,,,,,
"USW00054788","1999-08-26","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    3",",,W","    0",",,W","  211",",,W","  183",",,W","   15",",,W",,," 0912",",,W",,," 1335",",,W","  200",",,W",,,"   50",",,W","   80",",,W","   45",",,W","   49",",,W",,,,,,,,
"USW00054788","1999-08-27","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","   23",",,W",,,"  278",",,W","  189",",,W","   17",",,W",,," 1610",",,W",,," 1613",",,W","  233",",,W",,,"  210",",,W","  180",",,W","   63",",,W","   76",",,W",,,,,,,,
"USW00054788","1999-08-28","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    3",",,W",,,"  306",",,W","  183",",,W","   14",",,W",,," 1509",",,W",,," 1229",",,W","  244",",,W",,,"  310",",,W","  290",",,W","   49",",,W","   67",",,W",,,,,,,,
"USW00054788","1999-08-29","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  306",",,W","  167",",,W","   32",",,W",,," 1859",",,W",,," 1857",",,W","  239",",,W",,,"  350",",,W","  340",",,W","   98",",,W","  148",",,W",,,,,,,,
"USW00054788","1999-08-30","41.50969","-72.82783","29.6","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","    0",",,W",,,"  222",",,W","  117",",,W","   35",",,W",,," 0925",",,W",,," 0933",",,W","  172",",,W",,,"   30",",,W","   30",",,W","   76",",,W","   98",",,W",,,,,,,,
